"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","AB D FG IJK  N","1-","5.012 d 5 , % β- = 100, % α = 13.2×10-5 10","","","","","",
"46.5390 10","A    FG IJK","0-","< 3 ns","46.539 1","100","M1","0.0","1-",
"271.31 11","C  FG IJK  N","9-","3.04×10+6 y 6 , % α = 100","","","","","",
"319.73 4","B   FG IJK M","2-","5.2 ps 10","319.73 5","100","","0.0","1-",
"347.95 4","B   FG IJK","3-","","28.2 Calc. S,    347.91 6","1.3,     100",",","319.73,        0.0","2-, 1-",
"433.48 12","C EFG IJK","7-","57.5 ns 10","162.19 5","100","","271.31","9-",
"439.24 4","C   G IJK","5-","38 ns 1","5.8 Calc. S,     91.32 8",",     100",",","433.48,      347.95","7-, 3-",
"502.84 4","FG IJK","4-","< 1.4 ns","63.67 8 ,    154.85 7 ,    182.94 10","8 4 ,     100 3 ,      12.5 8",", ,","439.24,      347.95,      319.73","5-, 3-, 2-",
"550.04 4","FG IJK","6-","< 1.4 ns","110.79 7 ,    116.50 6","85 19 ,     100 9",",","439.24,      433.48","5-, 7-",
"563.16 5","B    G   K","(1-)","","516.6 5 ,    563.24 6","44 22 ,     100 22",",","46.5390,        0.0","0-, 1-",
"582.54 12","FG IJK M","8-","< 1.7 ps","148.99 12 ,    311.25 7",",",",","433.48,      271.31","7-, 9-",
"669.0 5","C  FG I KLMN","10-","100 ps 18","397.7 5","100","","271.31","9-",
"916.11 13","FG IJK","8-","","482.46 16 ,    644.51 9",",",",","433.48,      271.31","7-, 9-",
"971.92 5","G I K","(2-)","","408.78 6 ,    623.84 10 ,    971.89 8","100 25 ,     <25,      80 16",", ,","563.16,      347.95,        0.0","(1-), 3-, 1-",
"993.72 5","FG I KL","(3+)","","490.89 7 ,    645.81 7 ,    673.98 5","<5.1,      18.4 16 ,     100 5",", ,","502.84,      347.95,      319.73","4-, 3-, 2-",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"1164.64 6","G","(1-)","","601.5 3 ,   1118.08 14",",",",","563.16,       46.5390","(1-), 0-",
"1175.33 5","G I  L","(2-)","","827.24 7 ,    855.49 16 ,   1175.47 8",",  ,",", ,","347.95,      319.73,        0.0","3-, 2-, 1-",
"1184.15 12","FG   K","(8-)","","601.5 3 ,    634.02 12 ,    750.44 20 ,    912.74 9","<36,     100 16 ,     <39,    <150",", , ,","582.54,      550.04,      433.48,      271.31","8-, 6-, 7-, 9-",
"1197.3 5","G I","","","","","","","",
"1208.41 12","FG   K","(6-)","","705.25 13 ,    769.27 6 ,    775.01 5","<16,     100 5 ,    <172",", ,","502.84,      439.24,      433.48","4-, 5-, 7-",
"1248.04 6","FG I K","(4-)","","808.85 5 ?,    900.11 8","<186,     100 20",",","439.24,      347.95","5-, 3-",
