"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","ABCDEFGHIJ","0+","22.20 y 22 , % β- = 100, % α = 1.9×10-6 4","","","","","",
"799.7 1","ABCDE GHIJ","2+","17 ps 5","799.7 1","","E2","0.0","0+",
"1097.7 10","AB DE GH J","4+","0.6 ns 1","298 1","","E2","799.7","2+",
"1195 4","A  DE GH J","6+","49 ns 6","97 3","100","[E2]","1097.7","4+",
"1278 5","A  DEFG  J","8+","201 ns 17","83 3","100","[E2]","1195","6+",
"1806 5","D F   J","(10+)","","528.0 2","100","","1278","8+",
"1870 10","A  D   HI","3-","","1070 10","100","","799.7","2+",
"2003 15","D","","","","","","","",
"2038 15","D","","","","","","","",
"2118?","J","","","","","","","",
"2209 13","A  D   H","(2+)","","1110 20 ,   1410 20","100 29 ,    71 29",",","1097.7,    799.7","4+, 2+",
"2414 12","A  D","","","1316 13","100","","1097.7","4+",
"2454 15","D","","","","","","","",
"2512 5","F   J","(11-)","","1233.7 2","100","","1278","8+",
"2518 10","D   H","(6+)","","","","","","",
"2701 15","D","(4+)","","","","","","",
"2790 15","D","","","","","","","",
"2828 10","D   HI","3-","","","","","","",
"2861 15","D","","","","","","","",
"2901 15","D","(5-)","","","","","","",
"2986 15","D","","","","","","","",
"3070 12","A      HI","(2+)","","860 30 ,   2270 13","100 29 ,    43 29",",","2209,    799.7","(2+), 2+",
"3120 15","D","","","","","","","",
"3150 15","D","(6+)","","","","","","",
"3152 5","F   J","(13-)","","640.4 2 ,   1346.0 2","83,   100",",","2512,   1806","(11-), (10+)",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3194 10","H","(4+)","","","","","","",
"3215?","J","","","","","","","",
"3223 15","D    I","","","","","","","",
"3281 15","D","","","","","","","",
"3312 15","D","(8+)","","","","","","",
"3365 15","D","","","","","","","",
"3420 15","D F","","","","","","","",
"3460 32","A  D","(4+)","","1590 30 ,   2360 30","25 13 ,   100 38",",","1870,   1097.7","3-, 4+",
"3560 15","D","","","","","","","",
"3625 19","A  D","","","1210 20 ,   2430 30","100 24 ,    53 18",",","2414,   1195",", 6+",
"3657 15","D","","","","","","","",
"3702 15","D","","","","","","","",
"3755 15","D","","","","","","","",
"3792 15","D","","","","","","","",
"3829 15","D","","","","","","","",
"3880 32","A  D","","","2010 30","","","1870","3-",
"4055 15","D","","","","","","","",
"4080 10","H","(2+)","","","","","","",
