"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","ABCDE GHIJKLM","0+","138.376 d 2 , % α = 100","","","","","",
"1181.398 10","B    GHIJK M","2+","5.9 ps 12","1181.39 1","100","E2","0.0","0+",
"1426.701 14","B    GHIJKLM","4+","1.56 ns 6","245.31 1","100","E2","1181.398","2+",
"1473.357 21","B    GHIJK","6+","42.6 ns 10","46.85 5","100","E2","1426.701","4+",
"1556.97 3","B  E GHIJK","8+","98.9 ns 25","83.54 8","100","E2","1473.357","6+",
"2187.96 4","B    GHIJKL","8+","","630.97 1","100","M1+E2","1556.97","8+",
"2290.14 4","B     HIJK M","2+","","1108.55 7 ,   2290.22 5","11.2 11 ,   100 2","M1+E2, E2","1181.398,       0.0","2+, 0+",
"2326.018 23","B    GHIJK","6+","","769.20 6 ,    852.66 1 ,    899.23 14","3.7 3 ,   100 1 ,     1.9 3",", M1+E2,","1556.97,    1473.357,    1426.701","8+, 6+, 4+",
"2382.543 17","B    GHIJK","4+","","92.1 2 ,    909.00 8 ,    955.84 1 ,   1201.46 13","0.05 2 ,     5.9 4 ,   100.0 14 ,     6.8 9","(E2), , M1+E2, E2","2290.14,    1473.357,    1426.701,    1181.398","2+, 6+, 4+, 2+",
"2386.784 19","B     H J  M","3-","≈ 0.3 ps","960.01 5 ,   1205.38 2 ,   2386.8 3","11.3 6 ,   100.0 15 ,     1.0 3","E1, E1, [E3]","1426.701,    1181.398,       0.0","4+, 2+, 0+",
"2393.78 6","HIJK","1+","","1212.18 16 ,   2393.79 7","37 6 ,   100 5",", M1","1181.398,       0.0","2+, 0+",
"2403.282 21","B    GHIJK","5+","","20.72,     77.2 2 ,    929.93 2 ,    976.55 2","0.10 6 ,     6.7 18 ,    99.6 20 ,   100 2","[M1], M1, M1+E2, M1+E2","2382.543,    2326.018,    1473.357,    1426.701","4+, 6+, 6+, 4+",
"2413.834 25","HIJK","3+","","123.77 10 ,    987.12 10 ,   1232.36 3","8.4 13 ,    15.8 22 ,   100 4","M1,E2, M1, M1+E2","2290.14,    1426.701,    1181.398","2+, 4+, 2+",
"2438.36 3","B    GHIJK","7+","","112.29 10 ,    250.35 3 ,    881.39 2 ,    965.01 3","6.5 11 ,    76 5 ,   100 2 ,    66.5 2","(M1), M1, M1+E2, M1+E2","2326.018,    2187.96,    1556.97,    1473.357","6+, 8+, 8+, 6+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2608.58 6","H","0+","","214.80 8 ,   1427.2 1 ,   2608.56 10","<42,   100 49 ,",", E2, E0","2393.78,    1181.398,       0.0","1+, 2+, 0+",
"2658 10","M","","","","","","","",
"2845.97 7","H","(3)-","","459.0 3 ,   1664.57 7","38 17 ,   100 9","M1, E1+M2","2386.784,    1181.398","3-, 2+",
"2849.17 4","GH  K","11-","19.6 ns 4","661.17 3 ,   1292.20 1","4.88 24 ,   100 1","E3, E3","2187.96,    1556.97","8+, 8+",
