"E(level)(keV)","XREF","Jπ(level)","T1/2(level)",
"0.0","","0+","STABLE",
"20210","E GHI K","0+","0.50 MeV, % p = 100",
"21010","H","0-","0.84 MeV, % n = 24, % p = 76",
"21840","H J","2-","2.01 MeV, % n = 37, % p = 63",
"23330","","2-","5.01 MeV, % n = 47, % p = 53",
"23640","","1-","6.20 MeV, % IT = ?, % n = 45, % p = 55",
"24250","AB","1-","6.10 MeV, % n = 47, % p = 50, % D = 3",
"25280","","0-","7.97 MeV, % n = 48, % p = 52",
"25950","D","1-","12.66 MeV, % IT = ?, % n = 48, % p = 52",
"27420","C     I  L","2+","8.69 MeV, % n = 3, % p = 3, % D = 94",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)",
"28310","","1+","9.89 MeV, % n = 47, % p = 48, % D = 5",
"28370","ABC     I","1-","3.92 MeV, % n = 2, % p = 2, % D = 96",
"28390","ABC","2-","8.75 MeV, % n = 0.2, % p = 0.2, % D = 99.6",
"28640","C","0-","4.89 MeV, % D = 100",
"28670","C  F","2+","3.78 MeV, % IT = ?, % D = 100",
"29890","I","2+","9.72 MeV, % n = 0.4, % p = 0.4, % D = 99.2",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"23640","1-","6.20 MeV, % IT = ?, % n = 45, % p = 55","T=1, Γp=3.44 MEV, Γn=2.76 MEV, Strength is primarily 3p1.",
"24250","1-","6.10 MeV, % n = 47, % p = 50, % D = 3","T=0, Γp=3.08 MEV, Γn=2.87 MEV, Γp and Γn are primarily 3p1 and Γd=0.15 MeV.",
"25950","1-","12.66 MeV, % IT = ?, % n = 48, % p = 52","T=1, Γp=6.52 MEV, Γn=6.14 MEV, Strength is primarily 1p1.",
"27420","2+","8.69 MeV, % n = 3, % p = 3, % D = 94","T=0, Γp=0.25 MEV, Γn=0.23 MEV, Γd=8.21 MeV and is primarily 5s2.",
"28310","1+","9.89 MeV, % n = 47, % p = 48, % D = 5","T=0, Γp=4.72 MEV, Γn=4.66 MEV, Γd=0.51 MeV.",
"28370","1-","3.92 MeV, % n = 2, % p = 2, % D = 96","T=0, Γp=0.07 MEV, Γn=0.08 MEV, Γd=3.77 MeV.",
"28390","2-","8.75 MeV, % n = 0.2, % p = 0.2, % D = 99.6","T=0, Γp=0.02 MEV, Γn=0.02 MEV, Γd=8.71 MeV.",
"28640","0-","4.89 MeV, % D = 100","T=0, Γd=4.89 MeV.",
"28670","2+","3.78 MeV, % IT = ?, % D = 100","T=0, Γd=3.78 and is primarily 1d2.",
"29890","2+","9.72 MeV, % n = 0.4, % p = 0.4, % D = 99.2","T=0, Γp=0.04 MEV, Γn=0.04 MEV, Γd=9.64 and is primarily 5d2.",

